Designator,Mid X,Mid Y,Rotation,Layer
U25,177.8,-130.81,180.0,top
U26,174.125,-130.81,180.0,top
U27,151.765,-130.81,0.0,top
U28,144.475,-130.8,0.0,top
U29,140.85,-130.8,0.0,top
U3,133.35,-130.81,180.0,top
U4,170.425,-130.8,180.0,top
U5,137.1,-130.8,180.0,top
U6,166.7,-130.81,0.0,top
U7,153.96,-101.035,270.0,top
U8,125.73,-130.81,180.0,top
U9,129.54,-130.81,180.0,top
Y1,141.224,-98.552,90.0,top
